사업명,사업목적,지원내용,지원대상,지원조건,지원규모_신규(단위-억원),지원규모_계속(단위-억원),지원규모_합계(단위-억원),공고시작년월,공고종료년월,접수시작년월,접수종료년월,평가시작년월,평가종료년월,협약및사업비지급시작년월,협약및사업비지급종료년월
인체밀착형 웨어러블 기기용 전고체 리튬 고분자 배터리 개발,리튬이온 배터리의 안전성 향상 및 다양한 형태의 배터리 제조가 가능할 수 있는 고체 고분자 전해질이 적용된 전고체 리튬 고분자 배터리 및 소재부품 기술개발을 추진,"인체밀착형 웨어러블 기기용 전고체 리튬 고분자 배터리 개발 : 미래소형 무선 전자기기, IoT 및 4차산업용 등 인체 밀착형 웨어러블 기기용 전원으로 활용 가능한 부품으로, 액체전해질을 사용한 전지에 비해 안전성과 에너지밀도가 향상된 전고체 고분자 전해질이 적용된 소형의 전고체 리튬 고분자 배터리 및 관련 소재기술 개발 분야","기업, 대학, 연구기관, 연구조합 등 산업기술혁신촉진법 제11조 제2항 및 같은 법 시행령 제11조, 산업기술혁신사업 공통 운영요령 제2조제1항제3호, 제4호 및 제4의2호, 9의3부터 9의5에 해당하는 기관 ","과제당 연간 14억원 내외, 총 개발기간 4년 ※ 세부과제별 지원규모 및 지원기간은 공고 시 별도 안내 ",50,0,50,2025-01-25,2025-01-25,2025-02-25,2025-03-25,2025-03-25,2025-04-25,2025-04-25,2025-04-25
자동차산업기술개발(R&D),"국가 기간산업인 자동차 산업의 재도약과 지속가능한 성장동력 확보 및 미래차(전기·수소차, 자율주행차) 패러다임 전환에 대응하여 新시장 조기선점을 위한 기술개발·기반구축 지원","기술개발 : 글로벌 자동차 산업의 환경·안전 규제 강화에 대응하기 위한 핵심부품 고도화 및 미래차(전기수소차, 자율주행차) 요소기술 개발을 통해 세계 최고의 기술 경쟁력 확보 / 기반구축 : 자동차 핵심부품개발 지원 및 상용화 전주기 지원체계 등 개별기업이 구축하기 힘든 공동활용 인프라 구축 지원을 통해 중소·중견기업의 산업기술 혁심역량 제고","기업, 대학, 연구기관, 연구조합, 사업자단체 등 산업기술혁신촉진법 제11조 제 2항 및 같은 법 시행령 제 11조, 산업기술혁신사업 공통운영요령 제2조 제1항 제3호, 제4호 및 제4의 2호, 9의3부터 9의5에 해당하는 기관","과제당 연간 14.3억원 내외, 총 개발기간 3~5년 ※ 세부과제별 지원규모 및 지원기간은 공고 시 별도 안내",515.46,3388.78,3904.24,2025-01-25,2025-03-25,2025-01-25,2025-04-25,2025-03-25,2025-04-25,2025-04-25,2025-06-25
자율형소프트로봇핵심기술국제공동연구,국제 교류를 통한 자율형 소프트로봇 혁신기술 개발 및 글로벌 네트워크 구축 (기술개발/인력양성),"체화지능, 소프트로봇 기반 그리퍼, 웨어러블, 의료로봇, 이동형 로봇 등 기술 개발 및 현장 실증 ※ 韓산업부-美국방부간 자율로봇 공동 기초 연구를 위한 작업반 운영","기업, 대학, 연구기관, 연구조합, 사업자단체 등 산업기술혁신촉진법 제11조 제2항 및 같은 법 시행령 제11조, 산업기술혁신사업 공통 운영요령 제2조제1항제3호, 제4호 및 제4의2호, 9의3부터 9의5에 해당하는 기관 ","과제당 연간 8억원 내외, 총 개발기간 4년 ※ 세부과제별 지원규모 및 지원기간은 공고 시 별도 안내 ",31.5,0,31.5,2025-01-25,2025-08-25,2025-01-25,2025-08-25,2025-08-25,2025-09-25,2025-10-25,2025-10-25
전기차배터리시스템일체형급속무선충전기술개발(R&D),충전 편의성이 우수한 전기차 무선충전의 기술 경쟁력 및 상용성 향상을 위해 전기차 적용성이 개선된 50kW급 무선 급속충전시스템 개발,"전기차 배터리시스템 일체형 급속무선충전 기술개발 : 차량용 배터리 일체형 무선충전 수신부(VA), 차량용 무선충전기 및 송신부 모듈(GA), 신뢰성·평가, 무선충전 표준 등 전기차 무선충전과 관련한 기술개발","기업, 대학, 연구기관, 연구조합, 사업자단체 등 산업기술혁신촉진법 제11조 제2항 및 같은 법 시행령 제11조, 산업기술혁신사업 공통 운영요령 제2조제1항제3호, 제4호 및 제4의2호, 9의3부터 9의5에 해당하는 기관 ","과제당 연간 10억원 내외, 총 개발기간 4년 ※ 세부과제별 지원규모 및 지원기간은 공고 시 별도 안내 ",40,0,40,2025-01-25,2025-01-25,2025-02-25,2025-03-25,2025-03-25,2025-04-25,2025-04-25,2025-04-25
전자부품산업기술개발,디스플레이·반도체 분야 초격차 확보를 위한 전자부품 핵심 원천기술·상용화 기술개발 및 주력산업 제조공정 지능화를 위한 IT융합 시스템·부품 기술개발,"디스플레이 : OLED 기술초격차 확보를 위한 핵심 원천·상용화 기술개발 및 실증 지원, 차세대 디스플레이인 무기발광 디스플레이 기술 선도를 위한 마이크로LED 핵심기술 개발 지원 / 반도체 : 국내 중소·중견 기업 경쟁력 강화를 위한 공통 디자인 플랫폼 및 초고속 인터페이스 IP 개발 및 해외 주요시장 현지 수요 기반 시스템 반도체 제품 개발 지원 / IT융합 : 산업 AI 내재화 및 온디바이스 AI 융합기술 개발을 통한 주력산업 제조공정 지능화 및 첨단제조 경쟁력 강화 지원 / 광ICT·LED : 글로벌 시장 선점을 위한 지능형 광ICT 디지털 시스템 핵심기술 개발 및 맞춤형 실증 지원, 차세대 탄소중립형 디지털 모듈러 LED 제품·서비스 융합기술 개발 및 실증 / 첨단나노 : 초물성·신기능 구현이 가능한 첨단나노 소재 및 초고성능 나노 융합부품 기술개발 지원 / 우주항공 : 수출형 경공격기 연료탱크 확대 및 지상충돌 회피 시스템 개발 지원, 차세대 우주항공용 고신뢰성 통신 네트워크 반도체 개발 지원","기업, 대학, 연구소 등","과제당 연간 10.3억원 내외, 총 개발기간 3~5년 ※ 세부과제별 지원규모 및 지원기간은 공고 시 별도 안내 ",259.88,1366.25,1626.13,2025-01-25,2025-05-25,2025-01-25,2025-06-25,2025-03-25,2025-07-25,2025-04-25,2025-07-25
제조공정미활용수소혼합가스기반청정연소개술개발(R&D),"제조공정* 발생 부산물 중 미활용 되고 있는 수소혼합 가연성 가스**를 연소설비의 에너지원으로 활용하고, 동시에 온실가스 및 대기오염물질을 저감할 수 있는 청정연소기술 개발 - * 기초 화학물질, 플라스틱, 산업용 반도체가스 제조공정 등 ** 수소생산이 목적이 아닌 시설에서 제품제조 시 부산물로 발생되는 수소를 함유한 미활용 가연성 가스","탄소중립, 수소경제 활성화 정책 등에 따른 저탄소 연료 전용 연소기술 및 제어시스템 등에 대한 기술개발 및 현장실증 지원 - 수소혼합가스 전용 산업용 연소시스템, 수소혼합가스 실시간 분석 및 화염진단 기반 연소제어 시스템, 수소혼합가스 연소 후 배출 대기오염물질 예측·저감 시스템 등","기업, 대학, 연구기관, 연구조합, 사업자단체 등 산업기술혁신촉진법 제11조 제2항 및 같은 법 시행령 제11조, 산업기술혁신사업 공통 운영요령 제2조제1항제3호, 제4호 및 제4의2호, 9의3부터 9의5에 해당하는 기관 ","과제당 연간 20억원 내외, 총 개발기간 5년 ※ 세부과제별 지원규모 및 지원기간은 공고 시 별도 안내 ",35,0,35,2025-02-25,2025-02-25,2025-02-25,2025-03-25,2025-03-25,2025-03-25,2025-04-25,2025-04-25
제조안전고도화기술개발사업(R&D),업종별 제조현장의 사고사례 분석을 통해 산업AI기반 제조안전기술을 개발·실증하여 글로벌 공급망 대응형 대표 안전공장 구축 - 제조현장 산업재해 예방·대응을 위한 업종 맞춤형 제조안전기술 개발 및 제조안전 얼라이언스를 통한 보급·확산을 추진하여 중대재해처벌법 확대시행 대응 및 글로벌 공급망의 안전공장 브랜드 확보,"제조안전고도화기술개발사업(제조안전기술 개발) :제조현장 사고유형을 데이터화하여 산업AI를 기반으로 이를 예방 대응할 수 있는 기기 및 솔루션 개발 / 제조안전고도화기술개발사업 (제조안전 얼라이언스) : 철강·유화·조선·뿌리·산업단지·기계·섬유·반도체·디스플레이·배터리·바이오 등 11개 업종의 기업들이 참여하여 사고사례 공동분석, 안전기술 개발·실증, 안전문화 확산 등 제조안전 플랫폼 역할 수행","기업, 대학, 연구기관, 연구조합, 사업자단체 등 산업기술혁신촉진법 제11조 제2항 및 같은 법 시행령 제11조, 산업기술혁신사업 공통 운영요령 제2조제1항제3호, 제4호 및 제4의2호, 9의3부터 9의5에 해당하는 기관","과제당 연간 10억원 내외, 총 개발기간 3년 ※ 세부과제별 지원규모 및 지원기간은 공고 시 별도 안내 ",25.5,0,25.5,2025-02-25,2025-02-25,2025-02-25,2025-03-25,2025-03-25,2025-04-25,2025-04-25,2025-04-25
조선해양산업기술개발사업,"주요 수출국의 환경 안전규제 대응 및 新시장 조기선점을 위한 미래형 조선 및 해양플랜트분야 핵심 원천 기술, 관련 기자재 개발","조선 : 환경규제 안전규제에 대응하는 핵심기술개발, IT접목을 통한 중소조선소 경쟁력 강화 집중 / 해양플랜트 : 창의 시스템 산업의 고부가가치화를 목표로 엔지니어링 등 기반분야 핵심기술 적극 육성 추진","기업, 대학, 연구기관, 연구조합, 사업자단체 등 산업기술촉진법 제 11조 제2항 및 같은법 시행령 제11조, 산업기술혁신사업 공통 운영요령 제2조 제1항제3호, 제4호 및 제4의2호, 9의3부터 9의5에 해당하는 기관","과제당 연간 10억원 내외, 총 개발기간 3~5년",274.71,916.94,1191.65,2025-01-25,2025-04-25,2025-02-25,2025-05-25,2025-03-25,2025-06-25,2025-04-25,2025-06-25
지식서비스산업기술개발,"지식서비스 분야 핵심·원천 기술개발 지원을 통해 기존산업(제조업, 서비스업 등)을 고도화하고 新서비스 창출 지원","서비스핵심기술개발 기존산업(제조업 등)의 생산성 효율성 향상과 고부가가치화를 위해 서비스요소기술을 활용한 6大 지식서비스업종* 핵심기술 중점 개발 지원 - 엔지니어링, 산업 디지털, 제조 컨설팅, 제조생산물류, 산업훈련, 시험인증 첨단기술을 활용한 기존서비스 고도화 및 산업·기술간 융합 서비스 모델 발굴, 新서비스 수요급증에 대응한 서비스 개발 지원 / 서비스산업융합고도화 : 첨단기술을 활용한 기존서비스 고도화 및 산업·기술간 융합 서비스 모델 발굴, 新서비스 수요급증에 대응한 서비스 개발 지원","기업, 대학, 연구기관, 연구조합, 사업자단체 등 산업기술혁신촉진법 제11조 제2항 및 같은 법 시행령 제11조, 산업기술혁신사업 공통 운영요령 제2조 제1항 제3호, 제4호 및 제4의2호 9의2부터 9의4에 해당하는 기관","과제당 3~5년 간, 연 10억원 내외(과제별 지원기간 및 규모는 공고 시 별도 안내)",39.5,100,139.5,2025-01-25,2025-01-25,2025-01-25,2025-02-25,2025-03-25,2025-04-25,2025-04-25,2025-04-25
차세대 모빌리티용 극한환경 적용 OLED 기술개발(R&D),"항공, 자율주행 등 시장 진입 장벽이 높은 차세대모빌리티(자율주행차, UAM, UAA) 분야 적용을 위한 고유연, 고신뢰성 OLED 디스플레이 기술개발 및 실증을 통해 신시장 창출","차세대 모빌리티용 극한환경 적용 OLED 기술개발 : 차세대 모빌리티용 신폼팩터 & 극한환경, 모듈 및 시험평가/실증 2개 분야 5개 세부기술개발 과제 지원","기업, 대학, 연구기관, 연구조합, 사업자단체 등 산업기술혁신촉진법 제11조 제2항 및 같은 법 시행령 제11조, 산업기술혁신사업 공통 운영요령 제2조제1항제3호, 제4호 및 제4의2호, 9의3부터 9의5에 해당하는 기관 ","과제당 연간 10억원 내외, 총 개발기간 5년 ※ 세부과제별 지원규모 및 지원기간은 공고 시 별도 안내 ",30,0,30,2025-01-25,2025-01-25,2025-01-25,2025-02-25,2025-03-25,2025-04-25,2025-04-25,2025-04-25
차세대전차용하이브리드파워트레인기술개발사업,"세계 최고 수준의 출력 발휘가 가능한 1,500마력급 전차용 고출력 하이브리드 파워트레인 기술개발","차세대전차용하이브리드파워트레인기술개발 : 1,500마력급 전차용 고출력 하이브리드 파워트레인 기술개발을 위하여 3개 핵심 세부기술(하이브리드 동력시스템 통합제어 및 전동화 기술, 고출력 하이브리드 동력 및 냉각시스템 기술, 하이브리드 동력시스템 차량적용검증 기술)을 개발 지원","기업, 대학, 연구기관, 연구조합, 사업자단체 등 산업기술혁신촉진법 제11조 제2항 및 같은 법 시행령 제11조, 산업기술혁신사업 공통 운영요령 제2조제1항제3호, 제4호 및 제4의2호, 9의3부터 9의5에 해당하는 기관","과제당 연간 15억원 내외, 총 개발기간 5년 ※ 세부과제별 지원규모 및 지원기간은 공고 시 별도 안내 ",30,0,30,2025-01-25,2025-01-25,2025-02-25,2025-03-25,2025-03-25,2025-04-25,2025-04-25,2025-04-25
첨단바이오의약품 비임상 유효성 평가 기술 및 제품 개발,첨단바이오 비임상 유효성 평가 플랫폼 제품화 지원 및 비임상 평가 결과 분석 통합 장비 시스템의 국산화를 통한 신약 개발 비용 절감 및 국내 기업의 글로벌 임상 진출 경쟁력 강화,글로벌 진출형 이종융합기술 기반 혁신의료제품 상용화(산업부) : 글로벌 경쟁력 확보 가능한 첨단바이오의약품 비임상 유효성 평가 플랫폼 소재·부품·소프트웨어 및 이종융합기술 기반 국산 비임상 센싱·분석 장비 제품화 지원,"기업, 대학, 연구소 등","과제당 연간 5억원 내외, 총 개발기간 57개월 내외 ※ 세부과제별 지원규모 및 지원기간은 공고 시 별도 안내",20.88,0,20.88,2025-01-25,2025-03-25,2025-01-25,2025-03-25,2025-03-25,2025-04-25,2025-04-25,2025-04-25
첨단산업용시스템엔지니어링설계모델링기술개발,국내 제조업 실정을 반영한 개념설계 모델링 도구 및 개념설계 참조모델 개발,"한국형 MBSE 개념설계 모델링 도구 개발, 첨단산업 업종 분야별 개념설계 참조모델 개발, 기술 확산 지원시스템 개발 * 후보군: 항공·방산, 차세대원자력, 미래모빌리티, 지능형로봇, 에너지신산업, 첨단제조, 첨단바이오 등 개념설계 모델링 도구가 적극적으로 활용되는 산업","기업, 대학, 연구기관, 연구조합, 사업자단체 등 산업기술혁신촉진법 제11조 제2항 및 같은 법 시행령 제11조, 산업기술혁신사업 공통 운영요령 제2조 제1항 제3호, 제4호 및 제4의2호 9의2부터 9의4에 해당하는 기관","과제당 5년 간, 연 8억원 내외(과제별 지원기간 및 규모는 공고 시 별도 안내)",16,0,16,2025-01-25,2025-01-25,2025-01-25,2025-02-25,2025-03-25,2025-04-25,2025-04-25,2025-04-25
초고해상도 AMOLED 기반 초실감 라이트필드 디스플레이 기술개발,고부가가치 Light Field* 디스플레이 시장 창출을 위한 핵심 부품·모듈 기술 내재화 및 실증 지원 * Light Field 디스플레이 : 디스플레이 패널의 각 픽셀이 시청 각도에 따라 다른 색과 밝기로 보이도록 제어하여 입체 실감 영상을 표시하는 디스플레이 - 新폼팩터 OLED 디스플레이 기반 Light Field 핵심 요소기술 개발을 통한 고부가가치 공간표시 디스플레이 산업의 선도 기반 마련,초소형/중소형 : XR 및 개인용 IT 기기용 Light Field 디스플레이 기술개발 지원 / 대형/초대형 : 다인용 대화면 Light Field 요소 기술개발 지원,"기업, 대학, 연구기관, 연구조합, 사업자단체 등 산업기술혁신촉진법 제11조 제2항 및 같은 법 시행령 제11조, 산업기술혁신사업 공통 운영요령 제2조제1항제3호, 제4호 및 제4의2호, 9의3부터 9의5에 해당하는 기관 ","과제당 연간 10억원 내외, 총 개발기간 5년 이내 ※ 세부과제별 지원규모 및 지원기간은 공고 시 별도 안내 ",51.75,0,51.75,2025-01-25,2025-01-25,2025-01-25,2025-02-25,2025-03-25,2025-04-25,2025-04-25,2025-04-25
탄소중립산업핵심기술개발(R&D),"4대 배출 업종(철강, 석유화학, 시멘트, 반/디)의 주요 탄소배출 공정을 탄소중립 공정으로 전환하는 기술개발 및 실증을 통해 제조업의 그린전환 및 2030 NDC 달성에 기여","(철강) 기존공정의 탄소감축을 위한 스크랩 고도화, 저전력 전기로 기술 및 新공정인 수소환원제철 기초기술 등 / (석유화학) 석유화학 부생가스 메탄 전환기술 및 직접가열식 전기로 기술, 플라즈마 직접 분해 기술 등 / (시멘트) 혼합재 함량 증대 및 혼합 시멘트 확대 적용기술, 유연탄 연료 대체 기술 등 / (반도체·디스플레이) 반·디 제조공정에서 사용되는 고GWP 대체가스 개발 등",국가연구개발사업 관련 규정에 의거 주관연구기관 및 연구책임자로서 신청 가능한 기관 및 연구자,"과제당 평균 28.6억원 내외(‘25년 신규/계속예산 기준), 총 개발기간 6년 ※ 세부과제별 지원규모 및 지원기간은 공고 시 별도 안내 ",6.87,1279.65,1286.52,2025-01-25,2025-01-25,2025-01-25,2025-02-25,2025-03-25,2025-04-25,2025-04-25,2025-04-25
폴리에스터 혼방섬유의 F2F(Fiber To Fiber) 리사이클 핵심 기술개발(R&D),섬유산업의 순환 시스템화(closed-loop)를 위한 폴리에스터 혼방섬유의 Fiber to Fiber* 리사이클 핵심기술 개발 * PET용기 또는 섬유스크랩의 재활용 기술보다 진일보한 폐섬유 · 폐의류 리사이클,"폴리에스터 복합섬유* Fiber to Fiber 리사이클을 위한 전처리, 해중합, 재섬유화 및 제품화 기술 개발 * 폴리에스터와 이종(異種)섬유(면, 스판덱스 등)로 구성된 직편물(혼방사 직편물, 교직물 등을 포함) 및 이를 활용하여 제조된 의류","기업, 대학, 연구기관, 연구조합, 사업자단체 등 산업기술혁신촉진법 제11조 제2항 및 같은 법 시행령 제11조, 산업기술혁신사업 공통 운영요령 제2조제1항제3호, 제4호 및 제4의2호, 9의3부터 9의5에 해당하는 기관 ",총 개발기간 5년 이내로 과제 내용 및 특성에 따라 예산 차등 지원 * 세부과제별 지원규모 및 지원기간은 공고 시 별도 안내 ,40,0,40,2025-01-25,2025-01-25,2025-01-25,2025-02-25,2025-02-25,2025-03-25,2025-04-25,2025-04-25
화합물전력반도체고도화기술개발,"국내 전력반도체 기술 고도화를 통한 상용화 기술 확보, 시장 선점 및 공급망 내재화",상용화소자 및 전력변환장치(모듈) : 전력반도체 관련 상용소자 모듈 분야 기술개발,"기업, 대학, 연구기관, 연구조합, 사업자단체 등 산업기술혁신촉진법 제11조 제2항 및 같은 법 시행령 제11조, 산업기술혁신사업 공통 운영요령 제2조제1항제3호, 제4호 및 제4의2호, 9의3부터 9의5에 해당하는 기관 ","과제당 연간 12억원 내외, 총 개발기간 4년 ※ 세부과제별 지원규모 및 지원기간은 공고 시 별도 안내 ",55,156.7,211.7,2025-01-25,2025-01-25,2025-02-25,2025-03-25,2025-03-25,2025-04-25,2025-04-25,2025-04-25
